,SA2 Code,SA2 Name,Household Size,2006,2011,2016,,,,,,
138,503011036,Swanbourne - Mount Claremont,3,422,408,448,,,,,,
139,503011036,Swanbourne - Mount Claremont,4,556,564,593,,,,,,
140,503011036,Swanbourne - Mount Claremont,5,225,247,277,,,,,,
141,503011036,Swanbourne - Mount Claremont,6,57,60,72,,,,,,
142,503011036,Swanbourne - Mount Claremont,7,9,8,13,,,,,,
143,503011036,Swanbourne - Mount Claremont,8,3,4,0,,,,,,
144,503021037,Kings Park (WA),Total,0,15,10,,,,,,
145,503021037,Kings Park (WA),1,0,4,3,,,,,,
146,503021037,Kings Park (WA),2,0,7,5,,,,,,
147,503021037,Kings Park (WA),3,0,3,0,,,,,,
148,503021037,Kings Park (WA),4,0,0,0,,,,,,
149,503021037,Kings Park (WA),5,0,0,0,,,,,,
150,503021037,Kings Park (WA),6,0,0,0,,,,,,
151,503021037,Kings Park (WA),7,0,0,0,,,,,,
152,503021037,Kings Park (WA),8,0,0,0,,,,,,
153,503021038,Mount Hawthorn - Leederville,Total,3767,3967,4060,,,,,,
154,503021038,Mount Hawthorn - Leederville,1,1138,1085,1040,,,,,,
155,503021038,Mount Hawthorn - Leederville,2,1346,1326,1349,,,,,,
156,503021038,Mount Hawthorn - Leederville,3,577,644,672,,,,,,
157,503021038,Mount Hawthorn - Leederville,4,512,673,746,,,,,,
158,503021038,Mount Hawthorn - Leederville,5,158,186,202,,,,,,
159,503021038,Mount Hawthorn - Leederville,6,28,35,32,,,,,,
160,503021038,Mount Hawthorn - Leederville,7,5,5,6,,,,,,
161,503021038,Mount Hawthorn - Leederville,8,3,0,3,,,,,,
162,503021039,Mount Lawley - Inglewood,Total,6178,6514,6455,,,,,,
163,503021039,Mount Lawley - Inglewood,1,2223,2143,1994,,,,,,
164,503021039,Mount Lawley - Inglewood,2,2039,2261,2230,,,,,,
165,503021039,Mount Lawley - Inglewood,3,792,926,990,,,,,,
166,503021039,Mount Lawley - Inglewood,4,793,828,893,,,,,,
167,503021039,Mount Lawley - Inglewood,5,272,282,290,,,,,,
168,503021039,Mount Lawley - Inglewood,6,51,56,43,,,,,,
169,503021039,Mount Lawley - Inglewood,7,10,14,6,,,,,,
170,503021039,Mount Lawley - Inglewood,8,0,3,0,,,,,,
171,503021040,North Perth,Total,3156,3325,3384,,,,,,
172,503021040,North Perth,1,1020,963,970,,,,,,
173,503021040,North Perth,2,1128,1143,1124,,,,,,
174,503021040,North Perth,3,501,572,559,,,,,,
175,503021040,North Perth,4,365,460,530,,,,,,
176,503021040,North Perth,5,115,144,171,,,,,,
177,503021040,North Perth,6,29,32,19,,,,,,
178,503021040,North Perth,7,3,7,10,,,,,,
179,503021040,North Perth,8,0,3,5,,,,,,
180,503021041,Perth City,Total,7658,11093,13180,,,,,,
181,503021041,Perth City,1,3507,4596,5195,,,,,,
182,503021041,Perth City,2,2941,4569,5455,,,,,,
183,503021041,Perth City,3,747,1240,1569,,,,,,
184,503021041,Perth City,4,345,484,696,,,,,,
185,503021041,Perth City,5,86,134,168,,,,,,
186,503021041,Perth City,6,20,44,69,,,,,,
187,503021041,Perth City,7,6,10,11,,,,,,
188,503021041,Perth City,8,0,11,9,,,,,,
189,503021042,Subiaco - Shenton Park,Total,5968,6434,6779,,,,,,
190,503021042,Subiaco - Shenton Park,1,2310,2383,2373,,,,,,
191,503021042,Subiaco - Shenton Park,2,2071,2185,2350,,,,,,
192,503021042,Subiaco - Shenton Park,3,711,834,897,,,,,,
193,503021042,Subiaco - Shenton Park,4,627,764,834,,,,,,
194,503021042,Subiaco - Shenton Park,5,202,222,270,,,,,,
195,503021042,Subiaco - Shenton Park,6,40,34,52,,,,,,
196,503021042,Subiaco - Shenton Park,7,6,5,10,,,,,,
197,503021042,Subiaco - Shenton Park,8,5,0,0,,,,,,
198,503021043,Wembley - West Leederville - Glendalough,Total,6313,6745,6989,,,,,,
199,503021043,Wembley - West Leederville - Glendalough,1,2496,2369,2277,,,,,,
200,503021043,Wembley - West Leederville - Glendalough,2,2079,2198,2199,,,,,,
201,503021043,Wembley - West Leederville - Glendalough,3,774,932,1018,,,,,,
202,503021043,Wembley - West Leederville - Glendalough,4,662,848,1043,,,,,,
203,503021043,Wembley - West Leederville - Glendalough,5,249,313,374,,,,,,
204,503021043,Wembley - West Leederville - Glendalough,6,47,59,53,,,,,,
205,503021043,Wembley - West Leederville - Glendalough,7,6,12,11,,,,,,
206,503021043,Wembley - West Leederville - Glendalough,8,7,10,3,,,,,,
207,504011044,Bassendean - Eden Hill - Ashfield,Total,5457,5714,5883,,,,,,
