,SA2 Code,SA2 Name,Household Size,2006,2011,2016,,,,,,
889,506011116,Roleystone,7,7,7,11,,,,,,
890,506011116,Roleystone,8,5,8,4,,,,,,
891,506011117,Seville Grove,Total,2229,2953,3233,,,,,,
892,506011117,Seville Grove,1,311,479,542,,,,,,
893,506011117,Seville Grove,2,649,886,897,,,,,,
894,506011117,Seville Grove,3,462,602,666,,,,,,
895,506011117,Seville Grove,4,446,540,628,,,,,,
896,506011117,Seville Grove,5,230,272,301,,,,,,
897,506011117,Seville Grove,6,92,116,116,,,,,,
898,506011117,Seville Grove,7,26,33,45,,,,,,
899,506011117,Seville Grove,8,9,24,43,,,,,,
900,506021118,Belmont - Ascot - Redcliffe,Total,4627,5008,5216,,,,,,
901,506021118,Belmont - Ascot - Redcliffe,1,1504,1444,1473,,,,,,
902,506021118,Belmont - Ascot - Redcliffe,2,1707,1758,1789,,,,,,
903,506021118,Belmont - Ascot - Redcliffe,3,684,851,876,,,,,,
904,506021118,Belmont - Ascot - Redcliffe,4,477,579,683,,,,,,
905,506021118,Belmont - Ascot - Redcliffe,5,174,261,264,,,,,,
906,506021118,Belmont - Ascot - Redcliffe,6,54,88,86,,,,,,
907,506021118,Belmont - Ascot - Redcliffe,7,16,15,19,,,,,,
908,506021118,Belmont - Ascot - Redcliffe,8,9,24,21,,,,,,
909,506021119,East Victoria Park - Carlisle,Total,5815,6090,6367,,,,,,
910,506021119,East Victoria Park - Carlisle,1,2130,1915,1826,,,,,,
911,506021119,East Victoria Park - Carlisle,2,2079,2144,2292,,,,,,
912,506021119,East Victoria Park - Carlisle,3,806,962,1023,,,,,,
913,506021119,East Victoria Park - Carlisle,4,532,718,859,,,,,,
914,506021119,East Victoria Park - Carlisle,5,188,238,255,,,,,,
915,506021119,East Victoria Park - Carlisle,6,57,80,80,,,,,,
916,506021119,East Victoria Park - Carlisle,7,14,24,18,,,,,,
917,506021119,East Victoria Park - Carlisle,8,5,9,17,,,,,,
918,506021120,Kewdale Commercial,Total,0,0,0,,,,,,
919,506021120,Kewdale Commercial,1,0,0,0,,,,,,
920,506021120,Kewdale Commercial,2,0,0,0,,,,,,
921,506021120,Kewdale Commercial,3,0,0,0,,,,,,
922,506021120,Kewdale Commercial,4,0,0,0,,,,,,
923,506021120,Kewdale Commercial,5,0,0,0,,,,,,
924,506021120,Kewdale Commercial,6,0,0,0,,,,,,
925,506021120,Kewdale Commercial,7,0,0,0,,,,,,
926,506021120,Kewdale Commercial,8,0,0,0,,,,,,
927,506021121,Perth Airport,Total,0,0,0,,,,,,
928,506021121,Perth Airport,1,0,0,0,,,,,,
929,506021121,Perth Airport,2,0,0,0,,,,,,
930,506021121,Perth Airport,3,0,0,0,,,,,,
931,506021121,Perth Airport,4,0,0,0,,,,,,
932,506021121,Perth Airport,5,0,0,0,,,,,,
933,506021121,Perth Airport,6,0,0,0,,,,,,
934,506021121,Perth Airport,7,0,0,0,,,,,,
935,506021121,Perth Airport,8,0,0,0,,,,,,
936,506021122,Rivervale - Kewdale - Cloverdale,Total,7815,8682,9448,,,,,,
937,506021122,Rivervale - Kewdale - Cloverdale,1,2592,2648,2879,,,,,,
938,506021122,Rivervale - Kewdale - Cloverdale,2,2857,2981,3158,,,,,,
939,506021122,Rivervale - Kewdale - Cloverdale,3,1103,1372,1471,,,,,,
940,506021122,Rivervale - Kewdale - Cloverdale,4,781,1031,1131,,,,,,
941,506021122,Rivervale - Kewdale - Cloverdale,5,314,421,488,,,,,,
942,506021122,Rivervale - Kewdale - Cloverdale,6,124,170,211,,,,,,
943,506021122,Rivervale - Kewdale - Cloverdale,7,23,31,71,,,,,,
944,506021122,Rivervale - Kewdale - Cloverdale,8,19,31,39,,,,,,
945,506021123,Victoria Park - Lathlain - Burswood,Total,4779,5669,5878,,,,,,
946,506021123,Victoria Park - Lathlain - Burswood,1,1812,1808,1759,,,,,,
947,506021123,Victoria Park - Lathlain - Burswood,2,1760,2172,2207,,,,,,
948,506021123,Victoria Park - Lathlain - Burswood,3,647,923,971,,,,,,
949,506021123,Victoria Park - Lathlain - Burswood,4,414,551,669,,,,,,
950,506021123,Victoria Park - Lathlain - Burswood,5,104,151,197,,,,,,
951,506021123,Victoria Park - Lathlain - Burswood,6,32,49,58,,,,,,
952,506021123,Victoria Park - Lathlain - Burswood,7,7,10,11,,,,,,
953,506021123,Victoria Park - Lathlain - Burswood,8,0,6,4,,,,,,
954,506031124,Bentley - Wilson - St James,Total,6662,7132,7093,,,,,,
955,506031124,Bentley - Wilson - St James,1,2497,2458,2317,,,,,,
956,506031124,Bentley - Wilson - St James,2,2105,2051,2069,,,,,,
957,506031124,Bentley - Wilson - St James,3,911,1116,1054,,,,,,
958,506031124,Bentley - Wilson - St James,4,722,849,941,,,,,,
959,506031124,Bentley - Wilson - St James,5,277,414,451,,,,,,
960,506031124,Bentley - Wilson - St James,6,111,166,169,,,,,,
961,506031124,Bentley - Wilson - St James,7,26,48,48,,,,,,
962,506031124,Bentley - Wilson - St James,8,20,29,37,,,,,,
963,506031125,Canning Vale - West,Total,2670,3062,3057,,,,,,
964,506031125,Canning Vale - West,1,170,239,282,,,,,,
965,506031125,Canning Vale - West,2,686,851,862,,,,,,
966,506031125,Canning Vale - West,3,533,572,600,,,,,,
967,506031125,Canning Vale - West,4,799,854,826,,,,,,
968,506031125,Canning Vale - West,5,344,385,324,,,,,,
969,506031125,Canning Vale - West,6,107,106,102,,,,,,
970,506031125,Canning Vale - West,7,33,35,40,,,,,,
971,506031125,Canning Vale - West,8,3,17,19,,,,,,
972,506031126,Canning Vale Commercial,Total,0,0,0,,,,,,
973,506031126,Canning Vale Commercial,1,0,0,0,,,,,,
974,506031126,Canning Vale Commercial,2,0,0,0,,,,,,
975,506031126,Canning Vale Commercial,3,0,0,0,,,,,,
976,506031126,Canning Vale Commercial,4,0,0,0,,,,,,
977,506031126,Canning Vale Commercial,5,0,0,0,,,,,,
978,506031126,Canning Vale Commercial,6,0,0,0,,,,,,
979,506031126,Canning Vale Commercial,7,0,0,0,,,,,,
980,506031126,Canning Vale Commercial,8,0,0,0,,,,,,
981,506031127,Cannington - Queens Park,Total,4429,5328,6024,,,,,,
982,506031127,Cannington - Queens Park,1,1278,1302,1306,,,,,,
983,506031127,Cannington - Queens Park,2,1518,1757,1757,,,,,,
984,506031127,Cannington - Queens Park,3,753,919,1176,,,,,,
985,506031127,Cannington - Queens Park,4,526,744,991,,,,,,
986,506031127,Cannington - Queens Park,5,223,356,466,,,,,,
987,506031127,Cannington - Queens Park,6,110,168,211,,,,,,
988,506031127,Cannington - Queens Park,7,20,52,71,,,,,,
989,506031127,Cannington - Queens Park,8,5,25,49,,,,,,
990,506031128,Parkwood - Ferndale - Lynwood,Total,5166,5225,5202,,,,,,
991,506031128,Parkwood - Ferndale - Lynwood,1,1317,1319,1313,,,,,,
992,506031128,Parkwood - Ferndale - Lynwood,2,1829,1806,1778,,,,,,
993,506031128,Parkwood - Ferndale - Lynwood,3,840,874,888,,,,,,
994,506031128,Parkwood - Ferndale - Lynwood,4,747,785,757,,,,,,
995,506031128,Parkwood - Ferndale - Lynwood,5,306,306,303,,,,,,
996,506031128,Parkwood - Ferndale - Lynwood,6,96,89,98,,,,,,
997,506031128,Parkwood - Ferndale - Lynwood,7,17,25,37,,,,,,
998,506031128,Parkwood - Ferndale - Lynwood,8,13,17,23,,,,,,
999,506031129,Riverton - Shelley - Rossmoyne,Total,4398,4610,4677,,,,,,
1000,506031129,Riverton - Shelley - Rossmoyne,1,1024,995,938,,,,,,
1001,506031129,Riverton - Shelley - Rossmoyne,2,1424,1474,1433,,,,,,
1002,506031129,Riverton - Shelley - Rossmoyne,3,699,707,721,,,,,,
1003,506031129,Riverton - Shelley - Rossmoyne,4,762,917,1047,,,,,,
1004,506031129,Riverton - Shelley - Rossmoyne,5,366,387,410,,,,,,
1005,506031129,Riverton - Shelley - Rossmoyne,6,101,96,97,,,,,,
1006,506031129,Riverton - Shelley - Rossmoyne,7,12,22,24,,,,,,
1007,506031129,Riverton - Shelley - Rossmoyne,8,3,9,10,,,,,,
1008,506031130,Welshpool,Total,3,6,0,,,,,,
1009,506031130,Welshpool,1,3,0,0,,,,,,
1010,506031130,Welshpool,2,0,0,0,,,,,,
1011,506031130,Welshpool,3,0,0,0,,,,,,
1012,506031130,Welshpool,4,0,0,0,,,,,,
1013,506031130,Welshpool,5,0,0,0,,,,,,
1014,506031130,Welshpool,6,0,0,0,,,,,,
1015,506031130,Welshpool,7,0,0,0,,,,,,
1016,506031130,Welshpool,8,0,0,0,,,,,,
1017,506031131,Willetton,Total,5856,5887,5872,,,,,,
1018,506031131,Willetton,1,969,937,834,,,,,,
1019,506031131,Willetton,2,1817,1748,1580,,,,,,
1020,506031131,Willetton,3,1083,1134,1090,,,,,,
1021,506031131,Willetton,4,1278,1332,1530,,,,,,
1022,506031131,Willetton,5,533,540,591,,,,,,
1023,506031131,Willetton,6,138,155,176,,,,,,
1024,506031131,Willetton,7,25,25,52,,,,,,
1025,506031131,Willetton,8,12,10,19,,,,,,
1026,506041132,Beckenham - Kenwick - Langford,Total,5717,6086,6429,,,,,,
1027,506041132,Beckenham - Kenwick - Langford,1,1353,1344,1386,,,,,,
1028,506041132,Beckenham - Kenwick - Langford,2,1933,1957,1969,,,,,,
1029,506041132,Beckenham - Kenwick - Langford,3,976,1070,1174,,,,,,
1030,506041132,Beckenham - Kenwick - Langford,4,825,916,962,,,,,,
1031,506041132,Beckenham - Kenwick - Langford,5,400,471,545,,,,,,
1032,506041132,Beckenham - Kenwick - Langford,6,169,214,230,,,,,,
1033,506041132,Beckenham - Kenwick - Langford,7,36,58,87,,,,,,
1034,506041132,Beckenham - Kenwick - Langford,8,33,57,67,,,,,,
1035,506041133,Canning Vale - East,Total,4058,5987,6695,,,,,,
1036,506041133,Canning Vale - East,1,303,637,758,,,,,,
1037,506041133,Canning Vale - East,2,1119,1682,1712,,,,,,
1038,506041133,Canning Vale - East,3,812,1180,1356,,,,,,
1039,506041133,Canning Vale - East,4,1192,1576,1741,,,,,,
1040,506041133,Canning Vale - East,5,452,597,726,,,,,,
1041,506041133,Canning Vale - East,6,142,212,264,,,,,,
1042,506041133,Canning Vale - East,7,27,67,93,,,,,,
1043,506041133,Canning Vale - East,8,15,35,49,,,,,,
1044,506041134,Gosnells,Total,6605,7104,7225,,,,,,
1045,506041134,Gosnells,1,1907,2023,2061,,,,,,
1046,506041134,Gosnells,2,2232,2377,2236,,,,,,
1047,506041134,Gosnells,3,1028,1105,1124,,,,,,
1048,506041134,Gosnells,4,823,951,969,,,,,,
1049,506041134,Gosnells,5,393,397,488,,,,,,
1050,506041134,Gosnells,6,156,175,216,,,,,,
1051,506041134,Gosnells,7,38,49,68,,,,,,
1052,506041134,Gosnells,8,17,33,57,,,,,,
1053,506041135,Huntingdale - Southern River,Total,3608,4675,5943,,,,,,
1054,506041135,Huntingdale - Southern River,1,505,619,790,,,,,,
1055,506041135,Huntingdale - Southern River,2,1162,1412,1600,,,,,,
1056,506041135,Huntingdale - Southern River,3,700,930,1187,,,,,,
1057,506041135,Huntingdale - Southern River,4,776,1068,1390,,,,,,
1058,506041135,Huntingdale - Southern River,5,313,425,640,,,,,,
1059,506041135,Huntingdale - Southern River,6,120,150,221,,,,,,
1060,506041135,Huntingdale - Southern River,7,14,40,69,,,,,,
1061,506041135,Huntingdale - Southern River,8,14,23,47,,,,,,
1062,506041136,Maddington - Orange Grove - Martin,Total,4050,4260,4691,,,,,,
1063,506041136,Maddington - Orange Grove - Martin,1,1060,1091,1200,,,,,,
1064,506041136,Maddington - Orange Grove - Martin,2,1408,1436,1419,,,,,,
1065,506041136,Maddington - Orange Grove - Martin,3,662,728,813,,,,,,
1066,506041136,Maddington - Orange Grove - Martin,4,522,539,627,,,,,,
1067,506041136,Maddington - Orange Grove - Martin,5,237,264,337,,,,,,
1068,506041136,Maddington - Orange Grove - Martin,6,107,113,160,,,,,,
1069,506041136,Maddington - Orange Grove - Martin,7,29,46,72,,,,,,
1070,506041136,Maddington - Orange Grove - Martin,8,17,39,66,,,,,,
1071,506041137,Thornlie,Total,7733,7987,8014,,,,,,
1072,506041137,Thornlie,1,1393,1508,1535,,,,,,
1073,506041137,Thornlie,2,2600,2648,2627,,,,,,
1074,506041137,Thornlie,3,1396,1459,1470,,,,,,
1075,506041137,Thornlie,4,1435,1381,1355,,,,,,
1076,506041137,Thornlie,5,613,626,636,,,,,,
1077,506041137,Thornlie,6,205,270,259,,,,,,
1078,506041137,Thornlie,7,64,64,92,,,,,,
1079,506041137,Thornlie,8,35,38,50,,,,,,
1080,506051138,Forrestfield - Wattle Grove,Total,4878,5687,6467,,,,,,
1081,506051138,Forrestfield - Wattle Grove,1,1004,1184,1332,,,,,,
1082,506051138,Forrestfield - Wattle Grove,2,1740,1943,2100,,,,,,
1083,506051138,Forrestfield - Wattle Grove,3,870,1050,1129,,,,,,
1084,506051138,Forrestfield - Wattle Grove,4,780,914,1139,,,,,,
1085,506051138,Forrestfield - Wattle Grove,5,322,387,482,,,,,,
1086,506051138,Forrestfield - Wattle Grove,6,115,140,175,,,,,,
1087,506051138,Forrestfield - Wattle Grove,7,32,40,60,,,,,,
1088,506051138,Forrestfield - Wattle Grove,8,17,30,47,,,,,,
1089,506051139,High Wycombe,Total,3576,4093,4338,,,,,,
1090,506051139,High Wycombe,1,632,795,937,,,,,,
1091,506051139,High Wycombe,2,1225,1452,1507,,,,,,
1092,506051139,High Wycombe,3,632,681,738,,,,,,
1093,506051139,High Wycombe,4,689,722,737,,,,,,
1094,506051139,High Wycombe,5,295,317,284,,,,,,
1095,506051139,High Wycombe,6,81,94,99,,,,,,
1096,506051139,High Wycombe,7,12,21,25,,,,,,
1097,506051139,High Wycombe,8,9,13,23,,,,,,
1098,506051140,Kalamunda - Maida Vale - Gooseberry Hill,Total,5213,5368,5486,,,,,,
1099,506051140,Kalamunda - Maida Vale - Gooseberry Hill,1,946,1008,1129,,,,,,
1100,506051140,Kalamunda - Maida Vale - Gooseberry Hill,2,2060,2144,2150,,,,,,
1101,506051140,Kalamunda - Maida Vale - Gooseberry Hill,3,810,816,800,,,,,,
1102,506051140,Kalamunda - Maida Vale - Gooseberry Hill,4,875,896,879,,,,,,
1103,506051140,Kalamunda - Maida Vale - Gooseberry Hill,5,364,360,406,,,,,,
1104,506051140,Kalamunda - Maida Vale - Gooseberry Hill,6,120,108,84,,,,,,
1105,506051140,Kalamunda - Maida Vale - Gooseberry Hill,7,22,31,30,,,,,,
1106,506051140,Kalamunda - Maida Vale - Gooseberry Hill,8,10,8,17,,,,,,
1107,506051141,Lesmurdie - Bickley - Carmel,Total,3746,3726,3788,,,,,,
1108,506051141,Lesmurdie - Bickley - Carmel,1,629,603,656,,,,,,
1109,506051141,Lesmurdie - Bickley - Carmel,2,1352,1331,1350,,,,,,
1110,506051141,Lesmurdie - Bickley - Carmel,3,582,615,599,,,,,,
1111,506051141,Lesmurdie - Bickley - Carmel,4,738,707,725,,,,,,
1112,506051141,Lesmurdie - Bickley - Carmel,5,321,341,341,,,,,,
1113,506051141,Lesmurdie - Bickley - Carmel,6,94,108,93,,,,,,
1114,506051141,Lesmurdie - Bickley - Carmel,7,16,14,21,,,,,,
1115,506051141,Lesmurdie - Bickley - Carmel,8,11,7,9,,,,,,
1116,506061142,Byford,Total,1375,2603,5097,,,,,,
1117,506061142,Byford,1,173,297,667,,,,,,
1118,506061142,Byford,2,491,884,1626,,,,,,
1119,506061142,Byford,3,221,498,1014,,,,,,
1120,506061142,Byford,4,269,528,1075,,,,,,
1121,506061142,Byford,5,142,244,459,,,,,,
1122,506061142,Byford,6,49,104,172,,,,,,
1123,506061142,Byford,7,24,33,57,,,,,,
1124,506061142,Byford,8,14,18,33,,,,,,
1125,506061143,Mundijong,Total,1630,1784,1954,,,,,,
1126,506061143,Mundijong,1,187,209,206,,,,,,
1127,506061143,Mundijong,2,567,576,669,,,,,,
1128,506061143,Mundijong,3,279,319,343,,,,,,
1129,506061143,Mundijong,4,347,386,401,,,,,,
1130,506061143,Mundijong,5,167,186,198,,,,,,
1131,506061143,Mundijong,6,53,72,83,,,,,,
1132,506061143,Mundijong,7,15,22,29,,,,,,
1133,506061143,Mundijong,8,14,19,18,,,,,,
1134,506061144,Serpentine - Jarrahdale,Total,1185,1283,1363,,,,,,
1135,506061144,Serpentine - Jarrahdale,1,187,215,234,,,,,,
1136,506061144,Serpentine - Jarrahdale,2,476,510,541,,,,,,
1137,506061144,Serpentine - Jarrahdale,3,175,188,210,,,,,,
1138,506061144,Serpentine - Jarrahdale,4,211,225,234,,,,,,
1139,506061144,Serpentine - Jarrahdale,5,100,92,88,,,,,,
1140,506061144,Serpentine - Jarrahdale,6,33,33,41,,,,,,
1141,506061144,Serpentine - Jarrahdale,7,3,10,13,,,,,,
1142,506061144,Serpentine - Jarrahdale,8,3,3,9,,,,,,
1143,506071145,Como,Total,5773,6016,6083,,,,,,
1144,506071145,Como,1,2394,2189,2139,,,,,,
1145,506071145,Como,2,2121,2319,2220,,,,,,
1146,506071145,Como,3,639,776,904,,,,,,
1147,506071145,Como,4,449,527,608,,,,,,
1148,506071145,Como,5,127,161,156,,,,,,
1149,506071145,Como,6,33,38,39,,,,,,
1150,506071145,Como,7,6,8,9,,,,,,
1151,506071145,Como,8,3,0,5,,,,,,
1152,506071146,Manning - Waterford,Total,3467,3600,3698,,,,,,
1153,506071146,Manning - Waterford,1,783,875,786,,,,,,
1154,506071146,Manning - Waterford,2,1145,1144,1176,,,,,,
1155,506071146,Manning - Waterford,3,601,581,666,,,,,,
1156,506071146,Manning - Waterford,4,599,637,695,,,,,,
1157,506071146,Manning - Waterford,5,251,250,248,,,,,,
1158,506071146,Manning - Waterford,6,63,77,75,,,,,,
1159,506071146,Manning - Waterford,7,19,22,28,,,,,,
1160,506071146,Manning - Waterford,8,8,11,19,,,,,,
1161,506071147,South Perth - Kensington,Total,6221,6635,6569,,,,,,
1162,506071147,South Perth - Kensington,1,2148,2104,2026,,,,,,
1163,506071147,South Perth - Kensington,2,2245,2437,2352,,,,,,
1164,506071147,South Perth - Kensington,3,808,929,925,,,,,,
1165,506071147,South Perth - Kensington,4,745,833,896,,,,,,
1166,506071147,South Perth - Kensington,5,233,278,296,,,,,,
1167,506071147,South Perth - Kensington,6,31,40,62,,,,,,
1168,506071147,South Perth - Kensington,7,6,8,7,,,,,,
1169,506071147,South Perth - Kensington,8,3,3,0,,,,,,
1170,507011148,Banjup,Total,2482,4482,5379,,,,,,
1171,507011148,Banjup,1,230,442,576,,,,,,
1172,507011148,Banjup,2,694,1378,1426,,,,,,
1173,507011148,Banjup,3,474,865,1064,,,,,,
1174,507011148,Banjup,4,720,1205,1534,,,,,,
1175,507011148,Banjup,5,274,435,571,,,,,,
1176,507011148,Banjup,6,71,105,147,,,,,,
1177,507011148,Banjup,7,13,35,40,,,,,,
1178,507011148,Banjup,8,3,16,17,,,,,,
1179,507011150,Bibra Industrial,Total,4,4,0,,,,,,
1180,507011150,Bibra Industrial,1,0,0,0,,,,,,
1181,507011150,Bibra Industrial,2,0,0,0,,,,,,
1182,507011150,Bibra Industrial,3,0,0,0,,,,,,
1183,507011150,Bibra Industrial,4,0,0,0,,,,,,
1184,507011150,Bibra Industrial,5,0,0,0,,,,,,
1185,507011150,Bibra Industrial,6,0,0,0,,,,,,
1186,507011150,Bibra Industrial,7,0,0,0,,,,,,
1187,507011150,Bibra Industrial,8,0,0,0,,,,,,
1188,507011151,Bibra Lake,Total,0,0,0,,,,,,
1189,507011151,Bibra Lake,1,0,0,0,,,,,,
1190,507011151,Bibra Lake,2,0,0,0,,,,,,
1191,507011151,Bibra Lake,3,0,0,0,,,,,,
1192,507011151,Bibra Lake,4,0,0,0,,,,,,
1193,507011151,Bibra Lake,5,0,0,0,,,,,,
1194,507011151,Bibra Lake,6,0,0,0,,,,,,
1195,507011151,Bibra Lake,7,0,0,0,,,,,,
1196,507011151,Bibra Lake,8,0,0,0,,,,,,
1197,507011152,Coogee,Total,2387,2634,3051,,,,,,
1198,507011152,Coogee,1,431,469,554,,,,,,
1199,507011152,Coogee,2,771,907,1019,,,,,,
1200,507011152,Coogee,3,366,426,522,,,,,,
1201,507011152,Coogee,4,512,529,634,,,,,,
1202,507011152,Coogee,5,221,228,243,,,,,,
1203,507011152,Coogee,6,65,61,59,,,,,,
1204,507011152,Coogee,7,5,7,11,,,,,,
1205,507011152,Coogee,8,7,4,5,,,,,,
1206,507011153,Coolbellup,Total,2967,3056,3158,,,,,,
1207,507011153,Coolbellup,1,827,858,931,,,,,,
1208,507011153,Coolbellup,2,1008,1052,1034,,,,,,
1209,507011153,Coolbellup,3,447,482,522,,,,,,
1210,507011153,Coolbellup,4,450,431,447,,,,,,
1211,507011153,Coolbellup,5,171,155,155,,,,,,
1212,507011153,Coolbellup,6,48,60,51,,,,,,
1213,507011153,Coolbellup,7,9,18,15,,,,,,
1214,507011153,Coolbellup,8,0,8,8,,,,,,
1215,507011154,Hamilton Hill,Total,3867,4046,4136,,,,,,
1216,507011154,Hamilton Hill,1,1255,1294,1351,,,,,,
1217,507011154,Hamilton Hill,2,1404,1410,1433,,,,,,
1218,507011154,Hamilton Hill,3,585,656,631,,,,,,
1219,507011154,Hamilton Hill,4,398,430,457,,,,,,
1220,507011154,Hamilton Hill,5,146,184,183,,,,,,
1221,507011154,Hamilton Hill,6,55,60,57,,,,,,
1222,507011154,Hamilton Hill,7,9,7,20,,,,,,
1223,507011154,Hamilton Hill,8,14,6,6,,,,,,
1224,507011155,Henderson,Total,0,6,6,,,,,,
1225,507011155,Henderson,1,0,6,6,,,,,,
1226,507011155,Henderson,2,0,0,0,,,,,,
1227,507011155,Henderson,3,0,0,0,,,,,,
1228,507011155,Henderson,4,0,0,0,,,,,,
1229,507011155,Henderson,5,0,0,0,,,,,,
1230,507011155,Henderson,6,0,0,0,,,,,,
1231,507011155,Henderson,7,0,0,0,,,,,,
1232,507011155,Henderson,8,0,0,0,,,,,,
1233,507011158,North Coogee,Total,0,189,862,,,,,,
1234,507011158,North Coogee,1,0,22,170,,,,,,
1235,507011158,North Coogee,2,0,66,381,,,,,,
1236,507011158,North Coogee,3,0,39,118,,,,,,
1237,507011158,North Coogee,4,0,38,140,,,,,,
1238,507011158,North Coogee,5,0,16,36,,,,,,
1239,507011158,North Coogee,6,0,8,11,,,,,,
1240,507011158,North Coogee,7,0,0,3,,,,,,
1241,507011158,North Coogee,8,0,0,0,,,,,,
1242,507011159,South Lake - Cockburn Central,Total,3903,4101,4330,,,,,,
1243,507011159,South Lake - Cockburn Central,1,849,951,1093,,,,,,
1244,507011159,South Lake - Cockburn Central,2,1256,1336,1492,,,,,,
1245,507011159,South Lake - Cockburn Central,3,744,732,726,,,,,,
1246,507011159,South Lake - Cockburn Central,4,674,686,682,,,,,,
1247,507011159,South Lake - Cockburn Central,5,262,272,229,,,,,,
1248,507011159,South Lake - Cockburn Central,6,77,85,77,,,,,,
1249,507011159,South Lake - Cockburn Central,7,21,23,18,,,,,,
1250,507011159,South Lake - Cockburn Central,8,12,17,14,,,,,,
1251,507011160,Spearwood,Total,3369,3535,3854,,,,,,
1252,507011160,Spearwood,1,806,909,1028,,,,,,
1253,507011160,Spearwood,2,1216,1270,1399,,,,,,
1254,507011160,Spearwood,3,603,566,636,,,,,,
1255,507011160,Spearwood,4,474,512,497,,,,,,
1256,507011160,Spearwood,5,189,195,200,,,,,,
1257,507011160,Spearwood,6,64,57,61,,,,,,
1258,507011160,Spearwood,7,15,12,15,,,,,,
1259,507011160,Spearwood,8,4,3,12,,,,,,
1260,507011161,Success - Hammond Park,Total,1985,3689,4879,,,,,,
1261,507011161,Success - Hammond Park,1,286,556,760,,,,,,
1262,507011161,Success - Hammond Park,2,690,1230,1444,,,,,,
1263,507011161,Success - Hammond Park,3,366,740,991,,,,,,
1264,507011161,Success - Hammond Park,4,438,768,1138,,,,,,
1265,507011161,Success - Hammond Park,5,148,292,383,,,,,,
1266,507011161,Success - Hammond Park,6,45,70,108,,,,,,
1267,507011161,Success - Hammond Park,7,8,17,40,,,,,,
1268,507011161,Success - Hammond Park,8,3,14,18,,,,,,
1269,507011163,Yangebup,Total,2104,2456,2558,,,,,,
1270,507011163,Yangebup,1,417,464,495,,,,,,
1271,507011163,Yangebup,2,667,774,823,,,,,,
1272,507011163,Yangebup,3,379,489,481,,,,,,
1273,507011163,Yangebup,4,426,472,503,,,,,,
1274,507011163,Yangebup,5,156,184,169,,,,,,
1275,507011163,Yangebup,6,37,57,67,,,,,,
1276,507011163,Yangebup,7,13,14,9,,,,,,
1277,507011163,Yangebup,8,0,6,13,,,,,,
1278,507011259,Beeliar - Wattleup,Total,1670,2101,2717,,,,,,
1279,507011259,Beeliar - Wattleup,1,234,301,403,,,,,,
1280,507011259,Beeliar - Wattleup,2,510,632,864,,,,,,
1281,507011259,Beeliar - Wattleup,3,297,391,562,,,,,,
1282,507011259,Beeliar - Wattleup,4,394,482,569,,,,,,
1283,507011259,Beeliar - Wattleup,5,167,210,234,,,,,,
1284,507011259,Beeliar - Wattleup,6,62,62,59,,,,,,
1285,507011259,Beeliar - Wattleup,7,13,20,18,,,,,,
1286,507011259,Beeliar - Wattleup,8,3,10,5,,,,,,
1287,507011260,Jandakot,Total,798,814,826,,,,,,
1288,507011260,Jandakot,1,59,76,96,,,,,,
1289,507011260,Jandakot,2,270,286,301,,,,,,
1290,507011260,Jandakot,3,172,163,144,,,,,,
1291,507011260,Jandakot,4,195,180,180,,,,,,
1292,507011260,Jandakot,5,71,77,79,,,,,,
1293,507011260,Jandakot,6,22,28,19,,,,,,
1294,507011260,Jandakot,7,7,6,4,,,,,,
1295,507011260,Jandakot,8,0,3,0,,,,,,
1296,507021164,East Fremantle,Total,2511,2612,2712,,,,,,
1297,507021164,East Fremantle,1,703,697,677,,,,,,
1298,507021164,East Fremantle,2,855,877,910,,,,,,
1299,507021164,East Fremantle,3,341,379,414,,,,,,
1300,507021164,East Fremantle,4,387,435,492,,,,,,
1301,507021164,East Fremantle,5,178,188,175,,,,,,
1302,507021164,East Fremantle,6,39,27,33,,,,,,
1303,507021164,East Fremantle,7,0,6,3,,,,,,
1304,507021164,East Fremantle,8,3,0,0,,,,,,
1305,507021165,Fremantle,Total,5402,5653,5927,,,,,,
1306,507021165,Fremantle,1,2118,2047,2077,,,,,,
1307,507021165,Fremantle,2,1951,2097,2153,,,,,,
1308,507021165,Fremantle,3,707,760,843,,,,,,
1309,507021165,Fremantle,4,481,528,638,,,,,,
1310,507021165,Fremantle,5,133,173,186,,,,,,
1311,507021165,Fremantle,6,17,32,27,,,,,,
1312,507021165,Fremantle,7,5,3,4,,,,,,
1313,507021165,Fremantle,8,3,3,3,,,,,,
1314,507021166,Fremantle - South,Total,5056,5409,5625,,,,,,
1315,507021166,Fremantle - South,1,1523,1616,1606,,,,,,
1316,507021166,Fremantle - South,2,1800,1867,1971,,,,,,
1317,507021166,Fremantle - South,3,773,856,941,,,,,,
1318,507021166,Fremantle - South,4,644,699,758,,,,,,
1319,507021166,Fremantle - South,5,227,259,260,,,,,,
1320,507021166,Fremantle - South,6,55,85,64,,,,,,
1321,507021166,Fremantle - South,7,8,20,19,,,,,,
1322,507021166,Fremantle - South,8,8,11,14,,,,,,
1323,507021167,O'Connor (WA),Total,0,0,7,,,,,,
1324,507021167,O'Connor (WA),1,0,0,0,,,,,,
1325,507021167,O'Connor (WA),2,0,0,0,,,,,,
1326,507021167,O'Connor (WA),3,0,0,0,,,,,,
1327,507021167,O'Connor (WA),4,0,0,0,,,,,,
1328,507021167,O'Connor (WA),5,0,0,0,,,,,,
1329,507021167,O'Connor (WA),6,0,0,0,,,,,,
