,SA2 Name,Income_total_2006,Income_total_2011,Income_total_2016,change2006_2011,change2011_2016,change2006_2016,Income%2006_2011,Income%2011_2016,Income%2006_2016
88,Alkimos - Eglinton,0.00,0.00,2499.00,0.00,2499.00,2499.00,0.00,0.00,0.00
89,Carabooda - Pinjar,0.00,0.00,2499.00,0.00,2499.00,2499.00,0.00,0.00,0.00
90,Two Rocks,0.00,0.00,799.00,0.00,799.00,799.00,0.00,0.00,0.00
91,Yanchep,0.00,0.00,2499.00,0.00,2499.00,2499.00,0.00,0.00,0.00
142,Beeliar - Wattleup,0.00,0.00,2499.00,0.00,2499.00,2499.00,0.00,0.00,0.00
143,Jandakot,0.00,0.00,2499.00,0.00,2499.00,2499.00,0.00,0.00,0.00
153,Casuarina - Wandi,0.00,0.00,2499.00,0.00,2499.00,2499.00,0.00,0.00,0.00
154,Applecross - Ardross,2999.00,2999.00,2499.00,0.00,-500.00,-500.00,0.00,-0.17,-0.17
163,Winthrop,2999.00,2999.00,2499.00,0.00,-500.00,-500.00,0.00,-0.17,-0.17
149,Calista,599.00,599.00,499.00,0.00,-100.00,-100.00,0.00,-0.17,-0.17
34,Avon Valley National Park,199.00,199.00,149.00,0.00,-50.00,-50.00,0.00,-0.25,-0.25
42,Malaga,199.00,199.00,149.00,0.00,-50.00,-50.00,0.00,-0.25,-0.25
43,Melaleuca - Lexia,199.00,199.00,149.00,0.00,-50.00,-50.00,0.00,-0.25,-0.25
48,Walyunga National Park,199.00,199.00,149.00,0.00,-50.00,-50.00,0.00,-0.25,-0.25
66,Herdsman,199.00,199.00,149.00,0.00,-50.00,-50.00,0.00,-0.25,-0.25
70,Osborne Park Industrial,199.00,199.00,149.00,0.00,-50.00,-50.00,0.00,-0.25,-0.25
85,Neerabup National Park,199.00,199.00,149.00,0.00,-50.00,-50.00,0.00,-0.25,-0.25
93,Ashendon - Lesley,199.00,199.00,149.00,0.00,-50.00,-50.00,0.00,-0.25,-0.25
102,Kewdale Commercial,199.00,799.00,149.00,600.00,-650.00,-50.00,3.02,-0.81,-0.25
103,Perth Airport,199.00,199.00,149.00,0.00,-50.00,-50.00,0.00,-0.25,-0.25
108,Canning Vale Commercial,199.00,199.00,149.00,0.00,-50.00,-50.00,0.00,-0.25,-0.25
112,Welshpool,199.00,1999.00,149.00,1800.00,-1850.00,-50.00,9.05,-0.93,-0.25
132,Bibra Lake,199.00,199.00,149.00,0.00,-50.00,-50.00,0.00,-0.25,-0.25
136,Henderson,199.00,199.00,149.00,0.00,-50.00,-50.00,0.00,-0.25,-0.25
147,O'Connor (WA),199.00,199.00,149.00,0.00,-50.00,-50.00,0.00,-0.25,-0.25
168,Rockingham Lakes,199.00,199.00,149.00,0.00,-50.00,-50.00,0.00,-0.25,-0.25
150,Hope Valley - Postans,799.00,1249.00,499.00,450.00,-750.00,-300.00,0.56,-0.60,-0.38
151,Kwinana Industrial,1249.00,1249.00,299.00,0.00,-950.00,-950.00,0.00,-0.76,-0.76
131,Bibra Industrial,999.00,1499.00,149.00,500.00,-1350.00,-850.00,0.50,-0.90,-0.85
