,SA2 Code,SA2 Name,Education Level,Age Group,2006,2011,2016
152,507031174,Parmelia - Orelia,Total,Total,3366.0,3896.0,4463.0
153,507031261,Casuarina - Wandi,Total,Total,1540.0,1646.0,3590.0
154,507041175,Applecross - Ardross,Total,Total,5354.0,5970.0,6514.0
155,507041176,Bateman,Total,Total,1709.0,1950.0,2066.0
156,507041177,Bicton - Palmyra,Total,Total,6112.0,6901.0,7674.0
157,507041178,Booragoon,Total,Total,6924.0,7572.0,8235.0
158,507041179,Bull Creek,Total,Total,3813.0,3949.0,4265.0
159,507041180,Leeming,Total,Total,5133.0,5446.0,5666.0
160,507041181,Melville,Total,Total,7149.0,7834.0,8691.0
161,507041182,Murdoch - Kardinya,Total,Total,5394.0,5877.0,6745.0
162,507041183,Willagee,Total,Total,1838.0,2099.0,2333.0
163,507041184,Winthrop,Total,Total,3061.0,3154.0,3212.0
164,507051185,Baldivis,Total,Total,2614.0,6897.0,14928.0
165,507051186,Cooloongup,Total,Total,3032.0,3300.0,3547.0
166,507051187,Port Kennedy,Total,Total,4515.0,5408.0,5862.0
167,507051188,Rockingham,Total,Total,5536.0,6508.0,7595.0
168,507051189,Rockingham Lakes,Total,Total,0.0,11.0,5.0
169,507051190,Safety Bay - Shoalwater,Total,Total,4420.0,5130.0,5633.0
170,507051191,Singleton - Golden Bay - Secret Harbour,Total,Total,3916.0,6279.0,8682.0
171,507051192,Waikiki,Total,Total,4217.0,4784.0,5460.0
172,507051193,Warnbro,Total,Total,4111.0,4323.0,4643.0
