,SA2 Code,SA2 Name,Rent2006,Rent2011,Rent2016,Rent%2006-2011,Rent%2011-2016,Rent%2006_2016,House_avg2006,House_avg2011,House_avg2016,House%2006_2011,House%2011_2016,House%2006_2016,Income_total_2006,Income_total_2011,Income_total_2016,Income%2006_2011,Income%2011_2016,Income%2006_2016,2006 Bachelor 25 and over,2011 Bachelor 25 and over,2016 Bachelor 25 and over,Bachelor%2006-2011,Bacherlor%2011-2016,Bacherlor%2006-2016,Sum2006-2011,Sum2011-2016,Sum2006-2016
114,506041132,Beckenham - Kenwick - Langford,174,324,324,0.86,0,0.86,2.62,2.73,2.79,0.04,0.02,0.07,599,1249,2499,1.09,1,3.17,964,1606,2553,0.07,0.08,0.15,2.06,1.1,4.25
133,507011152,Coogee,274,424,549,0.55,0.29,1,2.81,2.76,2.75,-0.02,0,-0.02,599,1999,2499,2.34,0.25,3.17,453,673,1043,0.04,0.04,0.09,2.91,0.58,4.24
72,505021093,Stirling - Osborne Park,174,324,324,0.86,0,0.86,2.32,2.43,2.47,0.05,0.01,0.06,599,1999,2499,2.34,0.25,3.17,1216,2350,2962,0.09,0.05,0.14,3.34,0.31,4.23
79,505031100,Carramar,274,424,549,0.55,0.29,1,3.17,3.12,3.07,-0.02,-0.02,-0.03,599,1999,2499,2.34,0.25,3.17,384,927,1825,0.05,0.04,0.09,2.92,0.56,4.23
40,504031061,Hazelmere - Guildford,224,374,424,0.67,0.13,0.89,2.44,2.52,2.52,0.03,0,0.03,599,1249,2499,1.09,1,3.17,255,354,575,0.03,0.06,0.09,1.82,1.19,4.18
116,506041134,Gosnells,174,324,324,0.86,0,0.86,2.43,2.47,2.55,0.02,0.03,0.05,599,599,2499,0,3.17,3.17,646,1005,1532,0.03,0.05,0.08,0.91,3.25,4.16
141,507011163,Yangebup,224,374,424,0.67,0.13,0.89,2.7,2.76,2.74,0.02,-0.01,0.01,599,1999,2499,2.34,0.25,3.17,312,537,779,0.05,0.04,0.09,3.08,0.41,4.16
49,505011070,Craigie - Beldon,199,374,374,0.88,0,0.88,2.47,2.46,2.51,-0.01,0.02,0.01,599,1999,2499,2.34,0.25,3.17,697,998,1239,0.06,0.03,0.09,3.27,0.3,4.15
77,505031098,Alexander Heights - Koondoola,199,324,374,0.63,0.15,0.88,2.93,2.9,2.97,-0.01,0.02,0.01,599,399,2499,-0.33,5.26,3.17,595,788,952,0.04,0.02,0.06,0.33,5.45,4.12
138,507011159,South Lake - Cockburn Central,224,374,424,0.67,0.13,0.89,2.64,2.62,2.5,-0.01,-0.04,-0.05,599,1999,2499,2.34,0.25,3.17,872,1278,1712,0.06,0.04,0.1,3.06,0.38,4.11
